IDx,Title,Link
10937,Mobile Suit Gundam: The Origin,https://myanimelist.net/anime/10937/Mobile_Suit_Gundam__The_Origin
13601,Psycho-Pass,https://myanimelist.net/anime/13601/Psycho-Pass
25777,Shingeki no Kyojin Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
32282,Shokugeki no Souma: Ni no Sara,https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara
523,Tonari no Totoro,https://myanimelist.net/anime/523/Tonari_no_Totoro
12029,Uchuu Senkan Yamato 2199,https://myanimelist.net/anime/12029/Uchuu_Senkan_Yamato_2199
31964,Boku no Hero Academia,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia
25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,https://myanimelist.net/anime/25537/Fate_stay_night_Movie__Heavens_Feel_-_I_Presage_Flower
10087,Fate/Zero,https://myanimelist.net/anime/10087/Fate_Zero
6594,Katanagatari,https://myanimelist.net/anime/6594/Katanagatari
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari
37078,Quanzhi Gaoshou Specials,https://myanimelist.net/anime/37078/Quanzhi_Gaoshou_Specials
2559,Romeo no Aoi Sora,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora
12531,Sakamichi no Apollon,https://myanimelist.net/anime/12531/Sakamichi_no_Apollon
25835,Shirobako,https://myanimelist.net/anime/25835/Shirobako
34036,Detective Conan: Episode One - The Great Detective Turned Small,https://myanimelist.net/anime/34036/Detective_Conan__Episode_One_-_The_Great_Detective_Turned_Small
3784,Evangelion: 2.0 You Can (Not) Advance,https://myanimelist.net/anime/3784/Evangelion__20_You_Can_Not_Advance
486,Kino no Tabi: The Beautiful World,https://myanimelist.net/anime/486/Kino_no_Tabi__The_Beautiful_World
18115,Magi: The Kingdom of Magic,https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic
5341,Ookami to Koushinryou II,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II
10863,Steins;Gate: Oukoubakko no Poriomania,https://myanimelist.net/anime/10863/Steins_Gate__Oukoubakko_no_Poriomania
5,Cowboy Bebop: Tengoku no Tobira,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira
36946,Dragon Ball Super Movie: Broly,https://myanimelist.net/anime/36946/Dragon_Ball_Super_Movie__Broly
37105,Grand Blue,https://myanimelist.net/anime/37105/Grand_Blue
5420,Kemono no Souja Erin,https://myanimelist.net/anime/5420/Kemono_no_Souja_Erin
34240,Shelter,https://myanimelist.net/anime/34240/Shelter
25781,Shingeki no Kyojin: Kuinaki Sentaku,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
1365,Detective Conan Movie 06: The Phantom of Baker Street,https://myanimelist.net/anime/1365/Detective_Conan_Movie_06__The_Phantom_of_Baker_Street
30230,Diamond no Ace: Second Season,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season
30346,Doukyuusei (Movie),https://myanimelist.net/anime/30346/Doukyuusei_Movie
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,https://myanimelist.net/anime/20651/Natsume_Yuujinchou__Itsuka_Yuki_no_Hi_ni
1698,Nodame Cantabile,https://myanimelist.net/anime/1698/Nodame_Cantabile
30503,Noragami Aragoto,https://myanimelist.net/anime/30503/Noragami_Aragoto
31240,Re:Zero kara Hajimeru Isekai Seikatsu,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu
28701,Fate/stay night: Unlimited Blade Works 2nd Season,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season
18617,Girls & Panzer Movie,https://myanimelist.net/anime/18617/Girls___Panzer_Movie
14719,JoJo no Kimyou na Bouken (TV),https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV
4081,Natsume Yuujinchou,https://myanimelist.net/anime/4081/Natsume_Yuujinchou
19815,No Game No Life,https://myanimelist.net/anime/19815/No_Game_No_Life
5040,One Outs,https://myanimelist.net/anime/5040/One_Outs
45,Rurouni Kenshin: Meiji Kenkaku Romantan,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
37430,Tensei shitara Slime Datta Ken,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken
2685,Tsubasa: Tokyo Revelations,https://myanimelist.net/anime/2685/Tsubasa__Tokyo_Revelations
137,Hunter x Hunter: Yorkshin City Kanketsu-hen,https://myanimelist.net/anime/137/Hunter_x_Hunter__Yorkshin_City_Kanketsu-hen
34534,Natsume Yuujinchou Go Specials,https://myanimelist.net/anime/34534/Natsume_Yuujinchou_Go_Specials
2418,Stranger: Mukou Hadan,https://myanimelist.net/anime/2418/Stranger__Mukou_Hadan
513,Tenkuu no Shiro Laputa,https://myanimelist.net/anime/513/Tenkuu_no_Shiro_Laputa
4224,Toradora!,https://myanimelist.net/anime/4224/Toradora
